,date,risk_value,available_value,capital,value_to_risk,value_to_safe,floor_value,cushion,risky_w
114,2022-04-25,8354.13929040736,5000.0,13354.13929040736,13301.576872536136,0.0,0,1.0,1.0
115,2022-04-26,7555.847568988173,5000.0,12555.847568988174,13354.13929040736,0.0,0,1.0,1.0
116,2022-04-27,7536.136662286465,5000.0,12536.136662286466,12555.847568988174,0.0,0,1.0,1.0
117,2022-04-28,7473.718791064389,5000.0,12473.718791064388,12536.136662286466,0.0,0,1.0,1.0
118,2022-04-29,7243.758212877793,5000.0,12243.758212877794,12473.718791064388,0.0,0,1.0,1.0
119,2022-04-30,7033.508541392905,5000.0,12033.508541392905,12243.758212877794,0.0,0,1.0,1.0
120,2022-05-01,6961.235216819974,5000.0,11961.235216819974,12033.508541392905,0.0,0,1.0,1.0
121,2022-05-02,6557.161629434954,5000.0,11557.161629434955,11961.235216819974,0.0,0,1.0,1.0
122,2022-05-03,6806.833114323259,5000.0,11806.833114323259,11557.161629434955,0.0,0,1.0,1.0
123,2022-05-04,7401.445466491459,5000.0,12401.44546649146,11806.833114323259,0.0,0,1.0,1.0
124,2022-05-05,6787.122207621551,5000.0,11787.12220762155,12401.44546649146,0.0,0,1.0,1.0
125,2022-05-06,7187.91064388962,5000.0,12187.91064388962,11787.12220762155,0.0,0,1.0,1.0
126,2022-05-07,6731.274638633377,5000.0,11731.274638633378,12187.91064388962,0.0,0,1.0,1.0
127,2022-05-08,7128.777923784494,5000.0,12128.777923784495,11731.274638633378,0.0,0,1.0,1.0
128,2022-05-09,5699.737187910644,5000.0,10699.737187910643,12128.777923784495,0.0,0,1.0,1.0
129,2022-05-10,5354.7963206307495,5000.0,10354.79632063075,10699.737187910643,0.0,0,1.0,1.0
130,2022-05-11,4625.492772667543,5000.0,9625.492772667543,10354.79632063075,0.0,0,1.0,1.0
131,2022-05-12,4526.938239159002,5000.0,9526.938239159,9625.492772667543,0.0,0,1.0,1.0
132,2022-05-13,4733.902759526938,5000.0,9733.902759526938,9526.938239159,0.0,0,1.0,1.0
133,2022-05-14,5042.706964520368,5000.0,10042.706964520368,9733.902759526938,0.0,0,1.0,1.0
134,2022-05-15,5653.745072273325,5000.0,10653.745072273325,10042.706964520368,0.0,0,1.0,1.0
135,2022-05-16,5338.370565045992,5000.0,10338.370565045992,10653.745072273325,0.0,0,1.0,1.0
136,2022-05-17,5676.741130091985,5000.0,10676.741130091985,10338.370565045992,0.0,0,1.0,1.0
137,2022-05-18,5095.26938239159,5000.0,10095.26938239159,10676.741130091985,0.0,0,1.0,1.0
